TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
doyle_baskervilles_1_u	23	1.0	1495	7233	, if I remember right, 	, if I remember right, 
doyle_baskervilles_1_u	22	1.0	3239	10432	ed in connection with 	ed in connection with 
doyle_baskervilles_1_u	20	0.95	3518	10611	ould you have any ot	ould you have any ob
doyle_baskervilles_1_u	20	0.95	7943	11989	 asked Holmes with a	 asked Holmes with s
doyle_baskervilles_1_u	22	0.9545454545454546	8771	10434	 in connection with hi	 in connection with th
doyle_baskervilles_1_u	20	1.0	19673	6315	 a few particulars a	 a few particulars a
doyle_baskervilles_1_u	30	0.9666666666666667	22081	156	 seated at the breakfast-table	 seated at the breakfast table
doyle_baskervilles_1_u	20	0.95	22800	6102	 Sherlock Holmes, la	 Sherlock Holmes lea
doyle_baskervilles_1_u	20	0.95	24021	11989	 asked Holmes with a	 asked Holmes with s
doyle_baskervilles_1_u	36	1.0	24577	6102	 Sherlock Holmes leaned back in his 	 Sherlock Holmes leaned back in his 
doyle_baskervilles_1_u	20	0.95	28745	6102	 Sherlock Holmes lef	 Sherlock Holmes lea
doyle_baskervilles_1_u	20	0.95	31147	9515	 said Holmes. "Yes, 	 said Holmes. “Yes, 
doyle_baskervilles_1_u	24	0.9583333333333334	32270	824	 know what I was doing o	 know what I was doing? 
doyle_baskervilles_1_u	23	0.9565217391304348	39939	245	 our visitors had left 	 our visitor had left b
doyle_adventures_12_d	25	0.96	0	0	. THE ADVENTURE OF THE NO	. THE ADVENTURE OF THE CO
doyle_adventures_12_d	21	1.0	454	2480	 Sherlock Holmes had 	 Sherlock Holmes had 
doyle_adventures_12_d	24	0.9583333333333334	1173	2601	papers until at last, sa	papers until at last, ha
doyle_adventures_12_d	21	0.9523809523809523	1327	12321	 upon the table and w	 upon the table, and 
doyle_adventures_12_d	24	1.0	1495	43173	, if I remember right, w	, if I remember right, w
doyle_adventures_12_d	23	0.9565217391304348	2289	42960	ation. You have been re	ation. You have been br
doyle_adventures_12_d	20	0.95	2795	14585	he letter which I ho	he letter which I ha
doyle_adventures_12_d	24	0.9583333333333334	2852	13197	 I will read it to you, 	 I will read it to you: 
doyle_adventures_12_d	20	1.0	3642	4529	. Yours faithfully, 	. Yours faithfully, 
doyle_adventures_12_d	20	1.0	3642	14537	. Yours faithfully, 	. Yours faithfully, 
