TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
doyle_baskervilles_7_u	29	1.0	1856	6076	You will, I am sure, excuse m	You will, I am sure, excuse m
doyle_baskervilles_7_u	23	1.0	8314	13160	. I assure you that the	. I assure you that the
doyle_baskervilles_7_u	25	0.96	8722	14771	 What do you make of this	 What do you make of thos
doyle_signoffour_10_d	21	0.9523809523809523	3881	3310	ed some little time b	ed some little time, 
doyle_baskervilles_5_u	20	0.95	3702	5542	s in charge of the c	s in charge of the H
doyle_baskervilles_5_u	23	1.0	5144	11451	 said Sherlock Holmes. 	 said Sherlock Holmes. 
doyle_baskervilles_5_u	22	0.9545454545454546	8723	3984	What do you make of th	What do you make of it
doyle_signoffour_12_d	23	0.9565217391304348	2820	40967	 Captain Morstan was st	 Captain Morstan was th
doyle_signoffour_12_d	23	1.0	3712	43812	e of the convict-guard 	e of the convict-guard 
doyle_signoffour_12_d	26	1.0	5142	49484	," said Sherlock Holmes. "	," said Sherlock Holmes. "
doyle_signoffour_12_d	26	0.9615384615384616	5142	52743	," said Sherlock Holmes. "	," said Sherlock Holmes, "
doyle_signoffour_12_d	20	0.95	9849	44244	 came into my head t	 came into my head a
doyle_adventures_2_d	25	0.96	175	30097	ed in the most perfect ta	ed in the most perfect ha
doyle_adventures_2_d	20	0.95	1649	4615	 in his chair with a	 in his chair, with 
doyle_adventures_2_d	20	0.95	1649	25647	 in his chair with a	 in his chair, with 
doyle_adventures_2_d	20	0.95	1670	4167	 expression of extra	 expression of extre
doyle_adventures_2_d	22	1.0	1864	14892	, I am sure, excuse me	, I am sure, excuse me
doyle_adventures_2_d	23	0.9565217391304348	3535	13847	There was nothing in it	There was nothing in th
doyle_adventures_2_d	22	0.9545454545454546	3536	46395	here was nothing in it	here was nothing in hi
doyle_adventures_2_d	21	0.9523809523809523	4056	13703	e," remarked Holmes. 	e," remarked Holmes a
doyle_adventures_2_d	23	0.9565217391304348	4057	23214	," remarked Holmes. "I 	," remarked Holmes, "I 
doyle_adventures_2_d	20	0.95	4109	2076	 the most singular p	 the most singular w
doyle_adventures_2_d	20	0.95	4109	2533	 the most singular p	 the most singular t
doyle_adventures_2_d	24	0.9583333333333334	4512	12599	s in the advertisement c	s in the advertisement. 
doyle_adventures_2_d	24	0.9583333333333334	4513	45848	 in the advertisement co	 in the advertisement, o
doyle_adventures_2_d	22	1.0	4954	10861	ou can see for yoursel	ou can see for yoursel
doyle_adventures_2_d	26	0.9615384615384616	4960	12106	 see for yourselves that t	 see for yourselves, that 
doyle_adventures_2_d	26	0.9615384615384616	5142	34753	," said Sherlock Holmes. "	," said Sherlock Holmes, "
doyle_adventures_2_d	21	1.0	5327	20508	 read for yourself." 	 read for yourself." 
doyle_adventures_2_d	28	0.9642857142857143	5347	27685	 "Thank you," said Holmes. "	 "Thank you," said Holmes, "
doyle_adventures_2_d	27	0.9629629629629629	5348	27686	"Thank you," said Holmes. "	"Thank you," said Holmes, "
doyle_adventures_2_d	20	0.95	6488	43579	r," said Holmes. "Th	r," said Holmes. "Oh
doyle_adventures_2_d	21	1.0	8670	39092	ever had occasion to 	ever had occasion to 
doyle_adventures_2_d	21	0.9523809523809523	8724	25095	hat do you make of th	hat do you make of it
doyle_adventures_2_d	20	1.0	10245	1669	 of the imagination.	 of the imagination.
doyle_adventures_6_d	20	1.0	1596	38349	 his hands, and his 	 his hands, and his 
doyle_adventures_6_d	24	1.0	1853	27999	. "You will, I am sure, 	. "You will, I am sure, 
doyle_adventures_6_d	20	0.95	2022	29213	 be good enough to s	 be good enough to e
doyle_adventures_6_d	21	0.9523809523809523	3018	22063	 communicated with th	 communicated with hi
doyle_adventures_6_d	22	1.0	3938	22062	e communicated with hi	e communicated with hi
doyle_adventures_6_d	25	1.0	4057	39823	," remarked Holmes. "I ha	," remarked Holmes. "I ha
doyle_adventures_6_d	20	0.95	4143	13421	 years ago--to be ex	 years ago--to be de
doyle_adventures_6_d	24	0.9583333333333334	4929	14778	 of considerable value. 	 of considerable value w
doyle_adventures_6_d	20	0.95	5149	7726	 Sherlock Holmes. "H	 Sherlock Holmes. He
doyle_adventures_6_d	20	0.95	6283	28261	f I can be of any se	f I can be of any as
doyle_adventures_6_d	21	0.9523809523809523	6338	8002	he answered. "I have 	he answered; "I have 
doyle_adventures_6_d	21	0.9523809523809523	6792	17507	 upon the table, and 	 upon the table and t
doyle_adventures_6_d	23	0.9565217391304348	6792	37845	 upon the table, and ga	 upon the table, and a 
doyle_signoffour_8_d	21	1.0	3018	11272	 communicated with th	 communicated with th
doyle_signoffour_8_d	22	0.9545454545454546	3650	16233	 the Andaman Islands. 	 the Andaman Islands m
doyle_signoffour_8_d	20	0.95	3918	9789	 at Upper Norwood. W	 at Upper Norwood." 
doyle_signoffour_8_d	21	0.9523809523809523	3939	11272	 communicated with hi	 communicated with th
doyle_signoffour_8_d	22	0.9545454545454546	5358	1490	," said Holmes. "The e	," said Holmes. "They 
doyle_signoffour_8_d	20	1.0	6489	1490	," said Holmes. "The	," said Holmes. "The
doyle_signoffour_8_d	22	1.0	7107	6844	 I should not like to 	 I should not like to 
doyle_signoffour_8_d	21	1.0	8722	15038	 What do you make of 	 What do you make of 
doyle_adventures_10_d	20	0.95	910	22800	 Sherlock Holmes pla	 Sherlock Holmes, la
doyle_adventures_10_d	20	0.95	910	24577	 Sherlock Holmes pla	 Sherlock Holmes lea
doyle_adventures_10_d	24	0.9583333333333334	3031	10757	 with the police, and ne	 with the police, and ve
doyle_adventures_10_d	21	0.9523809523809523	4056	39915	e," remarked Holmes. 	e," remarked Holmes w
doyle_adventures_10_d	21	0.9523809523809523	4289	7427	 that it would be to 	 that it would be at 
doyle_adventures_10_d	20	0.95	4859	25644	er. They have been p	er. They have been i
doyle_adventures_10_d	20	1.0	4979	8379	 that they are very 	 that they are very 
doyle_adventures_10_d	24	0.9583333333333334	5083	17100	s that I had ever seen. 	s that I had ever seen t
doyle_adventures_10_d	25	0.96	5142	22793	," said Sherlock Holmes. 	," said Sherlock Holmes, 
doyle_adventures_10_d	26	1.0	5142	39509	," said Sherlock Holmes. "	," said Sherlock Holmes. "
doyle_adventures_10_d	20	0.95	5310	2496	 you will perhaps re	 you will perhaps be
doyle_adventures_10_d	20	0.95	5354	24394	 you," said Holmes. 	 you," said Holmes l
doyle_adventures_10_d	20	0.95	6789	30927	ers upon the table, 	ers upon the table. 
doyle_adventures_10_d	24	0.9583333333333334	7238	40107	Nothing could be more un	Nothing could be more na
doyle_adventures_10_d	20	0.95	7595	28465	 and hurried away. S	 and hurried away. H
doyle_adventures_10_d	22	1.0	8017	28562	. "There is something 	. "There is something 
