TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
doyle_scarlet_11_d	20	0.95	12982	13926	 very slowly and cir	 very slowly and car
doyle_adventures_8_d	21	0.9523809523809523	2372	22035	 to believe that he h	 to believe that the 
doyle_adventures_8_d	30	0.9666666666666667	4661	18006	 might have suggested the stor	 might have suggested the stra
doyle_adventures_8_d	20	0.95	12245	15406	here was something s	here was something e
doyle_adventures_8_d	20	1.0	12725	47105	 down the corridor. 	 down the corridor. 
doyle_adventures_8_d	20	0.95	12815	25695	e held in his hand. 	e held in his hand a
doyle_adventures_8_d	20	0.95	13019	15406	here was something i	here was something e
doyle_adventures_8_d	20	0.95	13710	44346	 the corner of the d	 the corner of the t
doyle_adventures_8_d	20	0.95	13710	47834	 the corner of the d	 the corner of the c
doyle_signoffour_6_d	22	0.9545454545454546	120	9774	 Mr. Sherlock Holmes w	 Mr. Sherlock Holmes, 
doyle_signoffour_6_d	20	0.95	2823	6157	t there is nothing t	t there is nothing e
doyle_signoffour_6_d	26	0.9615384615384616	6015	15433	 seen something of the bro	 seen something of the rou
doyle_signoffour_6_d	20	0.95	13278	4281	 I followed him. Whe	 I followed him. The
doyle_scarlet_6_d	22	0.9545454545454546	120	6446	 Mr. Sherlock Holmes w	 Mr. Sherlock Holmes, 
doyle_scarlet_6_d	24	0.9583333333333334	120	8571	 Mr. Sherlock Holmes whi	 Mr. Sherlock Holmes, wh
doyle_scarlet_6_d	20	0.95	124	14354	 Sherlock Holmes whi	 Sherlock Holmes, wi
doyle_scarlet_6_d	21	0.9523809523809523	2036	15013	 there was nothing of	 there was nothing mo
doyle_scarlet_6_d	20	0.95	5807	17328	 he appeared to be s	 he appeared to be e
doyle_scarlet_6_d	20	0.95	7738	137	 of the affair and t	 of the affair, and 
doyle_scarlet_14_d	24	0.9583333333333334	120	10862	 Mr. Sherlock Holmes whi	 Mr. Sherlock Holmes, wh
doyle_scarlet_14_d	20	0.95	124	11222	 Sherlock Holmes whi	 Sherlock Holmes wit
doyle_scarlet_14_d	20	0.95	1692	10030	 will probably be ve	 will probably be ne
doyle_scarlet_14_d	24	0.9583333333333334	2372	8504	 to believe that he has 	 to believe that he had 
doyle_scarlet_14_d	27	1.0	10669	2961	 I have already explained t	 I have already explained t
doyle_scarlet_4_d	20	0.95	124	8651	 Sherlock Holmes whi	 Sherlock Holmes wit
doyle_scarlet_4_d	20	0.95	3103	3779	 I confess that I ha	 I confess that I ca
doyle_scarlet_4_d	22	0.9545454545454546	6650	5041	 observed that he has 	 observed that he was 
doyle_scarlet_4_d	20	0.95	9642	12461	e description of the	e description of thi
doyle_scarlet_4_d	20	0.95	13554	3369	e more mysterious th	e more mysterious it
doyle_signoffour_4_d	22	0.9545454545454546	120	2081	 Mr. Sherlock Holmes w	 Mr. Sherlock Holmes, 
doyle_signoffour_4_d	20	0.95	2824	5066	 there is nothing to	 there is nothing mo
doyle_signoffour_4_d	20	1.0	11619	6883	 him a considerable 	 him a considerable 
doyle_signoffour_4_d	20	0.95	12784	18049	y down the passage w	y down the passage. 
doyle_signoffour_4_d	20	0.95	13710	10734	 the corner of the d	 the corner of the t
doyle_signoffour_4_d	21	1.0	13792	12944	d against the glass. 	d against the glass. 
vierth_synthetic_2_m	22	0.9545454545454546	2036	132	 there was nothing of 	 there was nothing to 
doyle_scarlet_10_d	20	0.95	3149	9198	 I have thought of t	 I have thought of d
doyle_baskervilles_9_u	23	0.9565217391304348	7	33	 Report of Dr. Watson F	 Report of Dr. Watson] 
doyle_baskervilles_9_u	22	1.0	377	55	 Baskerville Hall, Oct	 Baskerville Hall, Oct
doyle_baskervilles_9_u	20	1.0	406	81	th. MY DEAR HOLMES: 	th. MY DEAR HOLMES: 
doyle_baskervilles_9_u	22	0.9545454545454546	502	9357	 all that has occurred	 all that had occurred
doyle_baskervilles_9_u	21	0.9523809523809523	1501	14209	ould imagine that the	ould imagine that he 
doyle_baskervilles_9_u	21	0.9523809523809523	2036	7135	 there was nothing of	 there was nothing mo
doyle_baskervilles_9_u	20	0.95	2312	21137	he escaped convict u	he escaped convict, 
doyle_baskervilles_9_u	20	1.0	2335	1042	 the moor. There is 	 the moor. There is 
doyle_baskervilles_9_u	21	0.9523809523809523	3355	25445	 a desperate fellow l	 a desperate fellow. 
doyle_baskervilles_9_u	26	0.9615384615384616	5229	3242	 it was evident that he wa	 it was evident that he ha
doyle_baskervilles_9_u	22	0.9545454545454546	5371	11241	, and that he would no	, and that she would n
doyle_baskervilles_9_u	20	0.95	5371	21881	, and that he would 	, and that he could 
doyle_baskervilles_9_u	20	0.95	5677	13232	 at Merripit House, 	 at Merripit House n
doyle_baskervilles_9_u	20	0.95	5807	7623	 he appeared to be s	 he appeared to be m
doyle_baskervilles_9_u	21	0.9523809523809523	5856	429	 I am much mistaken i	 I am much mistaken, 
doyle_baskervilles_9_u	20	0.95	6735	5526	 your instructions t	 your instructions. 
doyle_baskervilles_9_u	24	1.0	7773	9357	 all that had occurred. 	 all that had occurred. 
doyle_baskervilles_9_u	22	0.9545454545454546	7923	31317	 ran and ran until he 	 ran and ran until we 
doyle_baskervilles_9_u	20	0.95	9288	13697	 according to his la	 according to his ac
doyle_baskervilles_9_u	20	0.95	9905	21137	he escaped convict. 	he escaped convict, 
doyle_baskervilles_9_u	20	1.0	10324	21137	he escaped convict, 	he escaped convict, 
doyle_baskervilles_9_u	29	0.9655172413793104	12318	33536	 the adventure of last night 	 the adventures of last night
doyle_baskervilles_9_u	23	1.0	12481	4942	d since I have been on 	d since I have been on 
doyle_baskervilles_9_u	20	0.95	12725	786	 down the corridor. 	 down the corridor a
doyle_baskervilles_9_u	21	0.9523809523809523	12945	7446	d me that it was Barr	d me that it was carr
doyle_baskervilles_9_u	26	0.9615384615384616	13748	17550	 crouching at the window w	 crouching at the window, 
doyle_baskervilles_9_u	21	1.0	13907	19268	 stared out into the 	 stared out into the 
doyle_baskervilles_9_u	20	0.95	14296	21267	t I could not tell w	t I could not tell i
doyle_scarlet_2_d	20	1.0	120	19250	 Mr. Sherlock Holmes	 Mr. Sherlock Holmes
doyle_scarlet_2_d	20	1.0	5128	11677	 the possibility of 	 the possibility of 
doyle_scarlet_2_d	20	1.0	10933	7047	 he had received the	 he had received the
doyle_scarlet_2_d	39	0.9743589743589743	11332	10107	d to the subject of his own accord. “I 	d to the subject of his own accord. It 
doyle_scarlet_12_d	20	0.95	2036	8818	 there was nothing o	 there was nothing e
doyle_scarlet_12_d	20	1.0	4492	6411	 the spot where the 	 the spot where the 
doyle_scarlet_12_d	21	0.9523809523809523	6657	4934	ed that he has taken 	ed that he had taken 
doyle_scarlet_12_d	20	0.95	9419	5520	 the remainder of hi	 the remainder of th
doyle_scarlet_12_d	20	0.95	9866	15040	 in the hope of catc	 in the hope of capt
doyle_signoffour_2_d	20	0.95	3868	8020	There is something t	There is something p
