TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
doyle_adventures_10_d	21	0.9523809523809523	4441	23935	 he seated himself in	 he seated himself an
doyle_adventures_10_d	20	0.95	8597	2393	efully, pointing at 	efully, pointing to 
doyle_adventures_10_d	21	0.9523809523809523	14448	33264	 throw up his hands, 	 throw up his hand, t
doyle_adventures_10_d	20	0.95	14993	31665	 the breast of his v	 the breast of his f
doyle_adventures_10_d	23	1.0	17184	39599	e of those who believe 	e of those who believe 
doyle_adventures_10_d	20	1.0	18856	28384	. Then he turned to 	. Then he turned to 
doyle_baskervilles_1_u	20	1.0	15821	3080	 an expression of in	 an expression of in
doyle_baskervilles_1_u	23	0.9565217391304348	18596	5371	 could not have been mo	 could not have been on
doyle_adventures_12_d	20	0.95	3190	32971	e projecting bones; 	e projecting bones. 
doyle_adventures_12_d	20	0.95	4524	48516	ed upon the ground h	ed upon the ground. 
doyle_adventures_12_d	22	0.9545454545454546	6704	9262	t there was somethin’ 	t there was something 
doyle_adventures_12_d	22	0.9545454545454546	6704	36625	t there was somethin’ 	t there was something 
doyle_adventures_12_d	21	0.9523809523809523	10273	32790	 the shadow of the bo	 the shadow of the co
doyle_adventures_12_d	20	1.0	12125	38805	 out from under the 	 out from under the 
doyle_adventures_12_d	20	0.95	15820	41946	d an expression of i	d an expression of t
doyle_adventures_12_d	21	1.0	18596	24590	 could not have been 	 could not have been 
doyle_adventures_12_d	21	1.0	18596	27622	 could not have been 	 could not have been 
doyle_adventures_12_d	20	0.95	19191	18750	Will you come with u	Will you come with m
doyle_baskervilles_3_u	20	1.0	14830	114	 showed that he was 	 showed that he was 
doyle_baskervilles_12_u	23	1.0	14054	15939	 the precipitous slope 	 the precipitous slope 
doyle_baskervilles_12_u	21	1.0	17066	19748	 “He appears to have 	 “He appears to have 
doyle_baskervilles_12_u	20	1.0	18856	21740	. Then he turned to 	. Then he turned to 
doyle_adventures_4_d	20	0.95	1743	36668	here is no sign of l	here is no sign of a
